trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
36.6,9.46,0,1,1,13.64,0,0,50,13.64,0,0
58.1,6.24,1,1,0,13.64,0,0,50,13.64,0,0
27.8,8.2,0,1,1,13.64,0,0,50,13.64,0,0
90.9,5.2,0,0,1,13.64,0,0,50,13.64,2,0
9.5,2.91,0,0,1,14.4,0,0,50,14.4,2,0
15.0,5.17,1,0,1,14.4,0,0,50,14.4,0,0
32.0,5.33,1,1,0,14.4,0,0,50,14.4,0,0
94.3,8.3,0,1,1,14.4,0,0,50,14.4,0,0
46.1,13.07,1,1,1,13.39,0,0,50,13.39,0,1
54.7,3.41,0,1,1,13.39,0,0,50,13.39,0,1
53.5,7.4,0,0,1,13.39,0,0,50,13.39,0,1
53.6,6.84,0,0,1,13.39,0,0,50,13.39,0,1
54.6,4.43,0,1,1,13.39,0,0,50,13.39,0,1
49.5,6.56,1,0,1,13.25,0,0,50,13.25,0,1
47.6,6.31,1,0,1,13.26,0,0,50,13.26,0,1
48.7,6.39,1,0,1,13.12,0,0,50,13.12,0,1
48.2,6.24,1,0,1,12.95,0,0,50,12.95,0,1
67.9,8.54,1,1,1,12.58,0,0,50,12.58,0,1
49.2,6.56,1,0,1,13.33,0,0,50,13.33,0,1
46.1,6.08,1,0,1,13.19,0,0,50,13.19,0,1
45.9,6.15,1,0,1,13.4,0,0,50,13.4,0,1
51.3,6.96,1,0,1,13.57,0,0,50,13.57,0,1
47.2,6.17,1,0,1,13.07,0,0,50,13.07,0,1
65.5,9.01,1,1,1,13.76,0,0,50,13.76,0,1
48.1,6.51,1,0,1,13.53,0,0,50,13.53,0,1
46.1,6.1,1,0,1,13.23,0,0,50,13.23,0,1
45.9,6.27,1,0,1,13.66,0,0,50,13.66,0,1
50.3,6.43,1,0,1,12.78,0,0,50,12.78,0,1
64.3,13.48,0,1,1,15.92,0,0,50,15.92,2,1
65.0,7.1,0,0,1,15.92,0,0,50,15.92,2,1
65.3,12.97,0,1,1,16.03,0,0,50,16.03,0,1
64.6,7.85,0,1,1,16.03,0,0,50,16.03,2,1
72.5,10.23,1,1,1,14.11,0,0,50,14.11,0,1
49.8,6.77,1,0,1,13.59,0,0,50,13.59,0,1
46.5,7.13,1,0,1,13.29,0,0,50,13.29,0,1
63.1,7.44,1,0,1,13.29,0,0,50,13.29,0,1
62.1,8.53,1,0,1,13.74,0,0,50,13.74,0,1
66.8,9.37,1,1,1,14.03,0,0,50,14.03,0,1
49.3,6.49,1,0,1,13.16,0,0,50,13.16,0,1
48.6,6.28,1,0,1,12.92,0,0,50,12.92,0,1
47.2,6.06,1,0,1,12.84,0,0,50,12.84,0,1
47.5,6.23,1,0,1,13.12,0,0,50,13.12,0,1
50.7,6.76,1,0,1,13.33,0,0,50,13.33,0,1
68.5,9.35,1,1,1,13.65,0,0,50,13.65,0,1
89.1,11.16,1,0,1,12.53,0,0,50,12.53,0,1
55.4,7.11,1,0,1,12.83,0,0,50,12.83,0,1
47.5,6.29,1,0,1,13.24,0,0,50,13.24,0,1
47.1,6.08,1,0,1,12.91,0,0,50,12.91,0,1
59.9,7.67,1,0,1,12.8,0,0,50,12.8,0,1
62.3,8.27,1,1,1,13.27,0,0,50,13.27,0,1
37.3,5.1,1,0,1,13.67,0,0,50,13.67,0,1
47.4,6.2,1,0,1,13.08,0,0,50,13.08,0,1
50.4,6.58,1,0,1,13.06,0,0,50,13.06,0,1
45.9,6.28,1,0,1,13.68,0,0,50,13.68,0,1
47.4,6.27,1,0,1,13.23,0,0,50,13.23,0,1
48.9,6.59,1,0,1,13.48,0,0,50,13.48,0,1
101.4,13.76,1,1,1,13.57,0,0,50,13.57,0,1
67.3,9.4,1,0,1,13.97,0,0,50,13.97,0,1
64.8,8.65,1,0,1,13.35,0,0,50,13.35,0,1
49.6,7.52,1,0,1,15.16,0,1,50,15.16,0,1
50.9,6.95,1,0,1,13.65,0,0,50,13.65,0,1
46.8,6.24,1,0,1,13.33,0,0,50,13.33,0,1
86.8,12.15,1,1,1,14.0,0,0,50,14.0,0,1
