trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
112.9,19.0,1,1,1,17.0,1,0,36.6,5.9,0,0
225.5,40.0,1,1,1,18.1,1,0,38.1,7.000000000000002,0,0
440.3,73.0,1,1,1,16.5,1,0,37.2,5.4,0,0
146.1,18.0,1,1,1,12.6,1,0,42.0,1.5,0,0
116.6,13.0,1,1,1,11.7,1,0,34.7,0.5999999999999996,0,1
145.2,17.0,1,1,1,12.1,1,0,40.2,1.0,0,1
125.9,17.0,1,1,1,13.9,1,0,41.3,2.8000000000000007,0,1
143.6,18.0,1,1,1,12.9,1,0,30.2,1.8000000000000007,0,1
157.9,18.0,1,1,1,11.8,1,0,34.2,0.7000000000000011,0,1
146.8,15.0,1,1,1,10.8,1,0,39.0,-0.2999999999999989,0,1
119.6,16.0,1,1,1,13.8,1,0,40.3,2.700000000000001,0,2
315.0,51.0,1,0,1,16.2,1,0,49.7,5.1,0,1
274.1,45.0,1,0,1,16.8,1,0,41.4,5.700000000000001,0,2
368.0,73.0,1,0,1,19.8,1,0,41.9,8.700000000000001,0,2
403.9,25.0,1,0,1,19.6,1,0,50.3,8.500000000000002,0,2
227.7,47.0,1,0,1,20.7,1,0,36.6,9.6,0,2
355.4,68.0,1,0,1,19.2,1,0,36.8,8.1,0,2
310.3,55.0,1,0,1,17.7,1,0,54.8,6.6,0,1
431.9,73.0,1,0,1,17.0,1,0,42.9,5.9,0,1
348.6,58.0,1,0,1,16.8,1,0,39.9,5.700000000000001,0,1
315.2,51.0,1,0,1,16.3,1,0,45.1,5.200000000000001,0,1
206.0,35.0,1,0,1,17.4,1,0,49.4,6.299999999999999,0,1
256.2,39.0,1,0,1,15.3,1,0,41.8,4.200000000000001,0,1
166.2,28.0,1,0,1,17.0,1,0,38.0,5.9,0,1
401.1,69.0,1,0,1,17.2,1,0,45.7,6.1,0,1
74.8,13.0,1,0,1,18.1,1,0,40.4,7.000000000000002,0,1
155.6,27.0,1,0,1,17.9,1,0,43.4,6.799999999999999,0,1
329.0,51.0,1,0,1,15.7,1,0,39.3,4.6,0,2
318.0,52.0,1,0,1,16.6,1,0,32.9,5.500000000000002,0,2
381.0,62.0,1,1,1,16.3,0,0,45.0,5.200000000000001,0,2
341.0,51.0,1,1,1,15.1,0,0,42.6,4.0,0,2
405.0,51.0,1,1,1,12.8,0,0,46.4,1.700000000000001,0,1
249.0,32.0,1,1,1,13.1,0,0,49.0,2.0,0,1
292.0,37.0,1,1,1,12.9,0,0,44.0,1.8000000000000007,0,1
361.0,46.0,1,1,1,12.7,0,0,47.1,1.5999999999999996,0,1
290.0,39.0,1,1,1,13.7,0,0,42.7,2.6,0,1
431.0,54.0,1,1,1,12.7,0,0,45.9,1.5999999999999996,0,1
418.0,53.0,1,1,1,12.8,0,0,51.9,1.700000000000001,0,1
337.0,44.0,1,1,1,13.1,0,0,50.6,2.0,0,1
429.0,53.0,1,1,1,12.5,0,0,46.6,1.4000000000000004,0,1
427.0,55.0,1,1,1,12.9,1,0,44.5,1.8000000000000007,0,1
369.0,49.0,1,1,1,13.4,1,0,46.3,2.3000000000000007,0,1
238.0,30.0,1,1,1,12.5,0,0,49.6,1.4000000000000004,0,1
295.0,37.0,1,1,1,12.7,0,0,50.9,1.5999999999999996,0,1
254.0,32.0,1,1,1,12.6,0,0,50.5,1.5,0,1
142.0,17.0,1,1,1,12.1,0,0,38.1,1.0,0,1
229.0,40.41,0,0,0,15.1,0,0,43.6,4.0,0,0
128.0,27.0,0,0,0,15.9,0,0,36.8,4.800000000000001,0,0
125.0,25.0,0,0,0,20.0,0,0,37.0,8.9,0,0
117.0,23.0,0,0,0,20.1,0,0,42.3,9.000000000000002,0,0
80.0,19.0,0,0,0,15.0,0,0,40.5,3.9,0,0
132.0,24.0,0,0,0,18.3,0,0,34.7,7.200000000000001,0,0
160.0,35.0,0,0,0,21.88,0,0,42.9,10.78,0,0
163.0,34.0,0,0,0,17.4,0,0,55.5,6.299999999999999,0,0
147.0,28.0,0,0,0,17.5,0,0,57.8,6.4,0,0
97.0,18.0,0,0,0,16.6,0,0,45.1,5.500000000000002,0,0
137.0,26.0,0,0,0,22.0,0,0,54.6,10.9,0,0
130.0,24.0,0,0,0,18.46,0,0,42.7,7.360000000000001,0,0
162.0,31.0,0,0,0,15.8,0,0,40.4,4.700000000000001,0,0
121.0,10.0,0,0,0,15.0,0,0,28.0,3.9,0,1
7.597,1.0,1,1,0,17.3,0,0,51.0,6.200000000000001,0,2
261.7,37.0,1,1,0,14.2,0,0,55.8,3.1,2,1
135.0,22.0,1,1,0,16.1,0,0,57.4,5.000000000000002,2,1
244.1,36.0,1,1,0,14.8,0,0,62.2,3.700000000000001,0,1
213.0,33.0,1,1,0,15.7,0,0,74.6,4.6,0,1
216.0,35.0,1,1,0,16.4,0,0,76.5,5.299999999999999,0,1
217.0,33.0,1,1,0,12.0,1,0,65.0,0.9000000000000004,0,1
353.0,38.0,1,0,1,11.0,1,0,24.4,-0.0999999999999996,1,1
156.0,19.0,1,0,1,12.4,1,0,26.9,1.3000000000000007,1,1
125.0,14.0,1,0,1,11.4,1,0,24.4,0.3000000000000007,1,1
168.0,19.0,1,0,1,11.4,1,0,26.0,0.3000000000000007,1,1
327.0,37.0,1,1,1,14.2,1,0,37.5,3.1,0,0
126.0,20.0,1,0,1,16.0,1,0,26.5,4.9,0,0
164.0,22.0,1,0,1,13.5,1,0,28.4,2.4000000000000004,0,0
422.0,44.0,1,0,0,15.5,1,0,19.7,4.4,0,0
37.0,6.0,1,0,0,17.1,1,0,21.8,6.000000000000002,0,0
199.0,30.0,1,0,1,15.2,0,0,27.0,4.1,0,0
219.0,35.0,1,0,1,16.0,1,0,25.3,4.9,0,0
259.0,41.0,1,0,1,15.9,1,0,27.3,4.800000000000001,0,0
260.0,39.0,1,1,1,15.0,1,0,54.0,3.9,0,0
206.0,31.0,1,0,1,14.7,1,0,30.3,3.6,0,0
310.0,43.0,1,0,1,14.0,1,0,25.2,2.9000000000000004,0,0
344.0,41.0,1,1,1,11.9,1,0,25.5,0.8000000000000007,0,0
274.0,32.0,1,0,1,11.7,1,0,23.9,0.5999999999999996,0,0
302.0,35.0,1,0,1,11.7,1,0,25.7,0.5999999999999996,0,0
330.0,40.0,1,0,1,12.4,1,0,24.8,1.3000000000000007,0,0
118.0,13.0,1,1,1,11.8,0,0,28.3,0.7000000000000011,0,0
193.0,22.0,1,0,0,11.5,1,0,21.8,0.4000000000000003,1,0
222.0,23.0,1,0,1,11.0,1,0,37.2,-0.0999999999999996,1,0
265.0,30.0,1,0,1,11.7,0,0,21.23,0.5999999999999996,0,0
293.0,36.0,1,0,1,12.5,0,0,25.2,1.4000000000000004,0,0
98.0,13.0,1,0,1,13.5,1,0,25.8,2.4000000000000004,0,0
250.0,31.0,1,0,0,12.7,1,0,26.0,1.5999999999999996,0,0
150.0,20.0,1,0,0,14.2,1,0,26.2,3.1,0,0
293.0,38.0,1,0,1,13.2,1,0,30.0,2.1,0,0
106.0,15.0,1,0,0,14.3,1,0,25.1,3.200000000000001,0,0
85.0,13.0,1,0,0,16.2,1,0,26.1,5.1,0,0
359.0,55.0,1,0,0,15.5,1,0,23.8,4.4,0,0
111.0,18.5,1,0,0,17.8,1,0,27.0,6.700000000000001,2,0
96.0,16.0,1,0,0,18.3,1,0,23.8,7.200000000000001,2,0
104.0,18.0,1,0,0,17.5,1,0,29.6,6.4,2,0
262.0,42.0,1,0,1,16.2,1,0,29.2,5.1,0,0
16.0,3.5,1,0,0,21.2,1,0,18.9,10.1,0,0
315.0,50.0,1,0,1,16.8,1,0,27.9,5.700000000000001,0,0
93.0,15.0,1,0,1,17.1,1,0,26.0,6.000000000000002,0,0
74.0,12.0,1,0,1,17.2,1,0,25.3,6.1,0,0
276.0,46.0,1,0,1,17.0,1,0,25.1,5.9,0,0
422.8,56.0,1,0,1,13.7,1,0,36.1,2.6,0,0
194.0,25.0,1,0,1,13.0,1,0,26.0,1.9000000000000004,0,0
259.0,36.0,1,0,1,13.6,1,0,32.7,2.5,0,0
241.0,33.0,1,0,1,12.8,1,0,29.0,1.700000000000001,0,0
246.0,34.0,1,1,1,13.6,1,0,52.9,2.5,0,0
213.0,25.0,1,0,1,13.2,1,0,24.4,2.1,1,0
198.8,20.0,1,0,1,11.5,1,0,27.0,0.4000000000000003,1,0
126.0,15.0,1,0,1,11.6,1,0,28.0,0.5,1,0
218.0,24.5,1,0,1,11.1,1,0,25.8,0.0,1,0
395.0,45.0,1,0,1,11.9,1,0,29.6,0.8000000000000007,1,0
183.0,22.0,1,0,1,11.5,1,0,26.9,0.4000000000000003,1,0
333.0,39.0,1,0,0,11.8,1,0,25.8,0.7000000000000011,1,0
233.0,30.0,1,0,0,12.3,1,0,22.5,1.200000000000001,1,0
284.0,34.0,1,0,1,12.3,0,0,26.7,1.200000000000001,1,0
203.0,24.0,1,0,1,11.8,1,0,26.5,0.7000000000000011,0,0
257.0,31.0,1,0,1,12.2,1,0,26.1,1.0999999999999996,0,0
240.0,28.0,1,1,1,13.2,1,0,55.7,2.1,0,0
86.0,28.0,1,0,0,12.9,1,0,27.6,1.8000000000000007,0,0
222.0,12.0,1,0,0,12.5,1,0,24.0,1.4000000000000004,0,0
68.0,16.0,1,0,0,12.2,1,0,27.0,1.0999999999999996,0,0
84.0,4.0,1,0,0,11.7,1,0,30.4,0.5999999999999996,0,0
67.0,21.0,1,0,0,12.6,1,0,35.3,1.5,0,0
103.0,8.0,1,0,0,12.8,0,0,37.9,1.700000000000001,0,0
113.0,6.0,0,1,1,12.6,0,0,68.7,1.5,0,0
40.0,9.0,1,0,0,14.7,1,0,26.2,3.6,0,0
28.0,8.0,1,0,0,15.1,1,0,27.6,4.0,0,0
240.0,21.0,1,0,0,16.5,1,0,28.0,5.4,0,0
153.0,22.0,1,0,0,15.1,1,0,24.0,4.0,0,0
55.0,8.0,1,0,0,15.6,1,0,27.0,4.5,0,0
148.0,19.0,1,0,0,13.1,1,0,29.0,2.0,1,1
121.0,30.0,1,0,0,13.5,0,0,23.6,2.4000000000000004,0,1
101.0,6.0,1,0,0,13.0,0,0,26.0,1.9000000000000004,0,1
50.0,24.0,1,0,0,12.1,1,0,24.5,1.0,0,1
200.0,5.0,1,0,0,12.2,0,0,26.0,1.0999999999999996,0,1
38.0,14.0,1,0,0,12.2,0,0,26.0,1.0999999999999996,0,1
223.5,25.0,1,0,0,11.5,1,0,37.7,0.4000000000000003,1,1
343.0,53.0,0,1,0,15.5,1,0,78.2,4.4,0,1
176.0,19.0,1,0,0,10.8,1,0,27.1,-0.2999999999999989,1,1
398.0,60.0,0,1,0,15.0,1,0,62.8,3.9,1,0
106.0,28.2,0,1,1,12.9,1,0,75.0,5.00301236516706,2,1
29.0,69.0,1,0,1,14.5,0,0,69.8,3.4000000000000004,1,0
42.0,18.3,1,0,1,14.7,0,0,52.4,3.6,1,0
46.0,67.8,1,0,1,14.0,0,0,67.0,2.9000000000000004,1,0
197.0,24.7,1,0,1,13.4,0,0,35.6,2.3000000000000007,1,0
187.0,61.7,0,1,0,13.6,0,0,72.9,2.5,1,0
228.0,26.3,1,0,1,12.9,0,0,31.3,1.8000000000000007,1,0
259.0,32.5,0,1,0,14.2,0,0,62.6,3.1,1,0
156.0,18.5,0,1,0,12.9,0,0,54.3,1.8000000000000007,1,0
36.0,42.4,1,0,1,16.1,0,0,47.9,5.000000000000002,1,0
151.0,5.3,1,0,1,12.9,0,0,30.1,1.8000000000000007,1,0
200.0,51.4,1,1,1,14.6,0,0,57.9,3.5,1,0
