trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
163.0,27.0,0,1,0,18.77,1,1,50,-5.83,1,2
159.0,62.0,0,1,0,18.77,1,1,50,-5.83,1,2
193.0,16.0,0,1,0,18.77,1,1,50,-5.83,1,2
71.0,5.0,0,1,1,18.77,1,1,50,-5.83,1,1
16.0,26.07,0,1,1,22.67,1,1,50,-1.9299999999999997,1,1
72.0,20.0,0,1,1,22.67,1,1,50,-1.9299999999999997,1,1
169.0,58.8,0,1,1,22.67,1,1,50,-1.9299999999999997,1,1
126.0,34.0,0,1,0,22.67,1,1,50,-1.9299999999999997,1,1
212.0,15.0,0,1,0,22.67,1,1,50,-1.9299999999999997,1,1
262.0,50.0,0,1,0,19.08,1,1,50,-5.52,1,0
199.0,38.0,0,1,0,19.1,1,1,50,-5.5,1,0
180.0,38.0,0,1,0,21.11,1,1,50,-3.49,1,0
292.0,58.0,0,1,0,19.86,1,1,50,-4.74,1,0
164.0,35.0,0,1,0,21.34,1,1,50,-3.26,1,0
320.0,59.0,0,1,0,18.44,1,1,50,-6.16,1,0
173.0,32.0,1,1,1,18.5,1,1,50,-6.1,1,0
280.0,54.0,1,1,1,19.29,1,1,50,-5.3100000000000005,1,0
184.0,34.0,1,1,1,18.48,1,1,50,-6.12,1,0
69.0,12.0,0,1,1,17.39,1,1,50,-7.21,1,0
327.0,62.0,0,1,1,18.96,1,1,50,-5.64,1,0
114.0,21.0,1,1,1,18.42,1,1,50,-6.18,1,0
143.0,28.0,1,1,1,19.58,1,1,50,-5.02,1,0
331.0,60.0,0,1,0,18.13,1,1,50,-6.47,1,0
251.0,50.0,0,1,0,19.92,1,1,50,-4.68,1,0
208.0,42.0,0,1,0,20.19,1,1,50,-4.41,1,0
210.0,44.0,0,1,0,20.95,1,1,50,-3.6500000000000004,1,0
267.0,56.0,0,1,0,20.97,1,1,50,-3.630000000000001,1,0
297.0,49.0,0,1,1,16.5,1,1,50,-8.1,1,0
172.0,31.0,0,1,1,18.02,1,1,50,-6.58,1,0
62.0,13.0,0,1,0,20.97,1,1,50,-3.630000000000001,1,0
265.0,52.0,0,1,0,19.62,1,1,50,-4.98,1,0
327.0,60.0,0,1,1,18.35,1,1,50,-6.25,1,0
93.0,21.0,1,1,1,22.58,1,1,50,-2.0199999999999996,1,0
270.0,52.0,1,1,1,19.26,1,1,50,-5.34,1,0
271.0,48.0,1,1,1,17.71,1,1,50,-6.89,1,0
127.0,25.0,0,1,1,19.69,1,1,50,-4.91,1,0
216.0,51.0,1,1,1,23.61,1,1,50,-0.9900000000000002,1,0
227.0,47.0,1,1,1,20.7,1,1,50,-3.9000000000000004,1,0
165.0,41.0,1,1,1,24.85,1,1,50,0.25,1,0
153.0,30.0,0,1,0,19.61,1,1,50,-4.99,1,0
232.0,53.0,1,1,1,22.84,1,1,50,-1.7599999999999998,1,0
235.0,56.0,0,1,0,23.83,1,1,50,-0.7699999999999996,1,0
187.0,41.0,1,1,1,21.93,1,1,50,-2.67,1,0
183.0,43.0,0,1,0,23.5,1,1,50,-1.0999999999999996,1,0
224.0,54.0,0,1,0,24.11,1,1,50,-0.4900000000000002,1,0
171.0,42.0,0,1,0,24.56,1,1,50,-0.03999999999999915,1,0
138.0,32.0,0,1,0,23.19,1,1,50,-1.4100000000000001,1,0
110.0,24.0,0,1,0,21.82,1,1,50,-2.7799999999999994,1,0
328.0,69.0,0,1,0,21.04,1,1,50,-3.5600000000000005,1,0
171.0,39.0,0,1,0,22.81,1,1,50,-1.7899999999999991,1,0
5.828,1.11,1,0,1,19.05,1,1,50,-5.55,1,0
352.0,59.0,0,1,1,16.76,1,1,50,-7.84,1,0
179.0,32.0,1,1,1,17.88,1,1,50,-6.72,1,0
279.0,52.5,0,1,0,18.82,1,1,50,-5.78,1,0
348.3,65.0,0,1,1,18.66,1,1,50,-5.94,1,0
240.7,47.3,1,1,1,19.65,1,1,50,-4.949999999999999,1,0
277.2,57.6,0,1,0,20.78,1,1,50,-3.8200000000000003,1,0
312.0,63.1,0,1,0,20.22,1,1,50,-4.380000000000001,1,0
234.0,40.8,0,1,0,17.44,1,1,50,-7.16,1,0
270.0,47.5,1,1,0,17.59,1,1,50,-7.01,1,0
91.0,17.0,1,0,1,18.68,1,1,50,-5.92,1,0
179.5,31.3,1,1,1,17.44,1,1,50,-7.16,1,0
178.0,32.9,1,1,1,18.48,1,1,50,-6.12,1,0
182.0,34.8,1,1,1,19.12,1,1,50,-5.48,1,0
131.2,22.2,1,1,1,16.92,1,1,50,-7.68,1,0
149.4,30.2,1,1,0,20.21,1,1,50,-4.390000000000001,1,0
6.205,1.166,1,0,1,18.79,1,1,50,-5.81,1,0
247.2,53.5,0,1,0,21.64,1,1,50,-2.960000000000001,1,0
262.7,59.7,0,1,0,22.73,1,1,50,-1.8699999999999992,1,0
234.4,54.4,0,1,0,23.21,1,1,50,-1.3900000000000006,1,0
128.9,31.1,1,1,0,24.13,1,1,50,-0.47000000000000064,1,0
204.0,53.8,0,1,0,26.37,1,1,50,1.7699999999999996,1,0
170.3,42.9,0,1,0,25.19,1,1,50,0.5899999999999999,1,0
202.0,47.0,0,1,0,23.27,1,1,50,-1.33,1,0
192.0,42.0,0,1,0,21.88,1,1,50,-2.7200000000000006,1,0
236.0,56.5,0,1,0,23.94,1,1,50,-0.6600000000000001,1,0
235.0,58.8,0,1,0,25.02,1,1,50,0.41999999999999993,1,0
197.1,45.4,1,1,1,23.03,1,1,50,-1.5700000000000003,1,0
146.0,38.5,1,1,1,26.37,1,1,50,1.7699999999999996,1,0
94.3,24.8,1,1,1,26.3,1,1,50,1.6999999999999993,1,0
159.1,34.4,1,1,1,21.62,1,1,50,-2.9800000000000004,1,0
285.5,60.3,0,1,0,21.12,1,1,50,-3.4800000000000004,1,0
101.8,29.3,1,1,1,28.78,1,1,50,4.18,1,0
121.9,29.2,1,1,1,23.95,1,1,50,-0.6500000000000004,1,0
237.0,52.7,0,1,0,22.24,1,1,50,-2.3599999999999994,1,0
285.9,58.5,0,1,0,20.46,1,1,50,-4.140000000000001,1,0
246.6,53.0,0,1,1,21.49,1,1,50,-3.1099999999999994,1,0
216.9,54.4,0,1,0,25.08,1,1,50,0.4800000000000004,1,0
212.3,49.0,1,0,1,23.08,1,1,50,-1.5199999999999996,1,0
200.5,42.9,0,1,0,21.4,1,1,50,-3.1999999999999993,1,0
272.0,59.7,0,1,0,21.95,1,1,50,-2.6500000000000004,1,0
275.4,53.9,0,1,0,19.57,1,1,50,-5.029999999999999,1,0
262.5,56.5,0,1,0,21.52,1,1,50,-3.08,1,0
84.2,20.0,1,1,1,23.75,1,1,50,-0.8499999999999996,1,0
257.0,48.8,1,1,1,18.99,1,1,50,-5.61,1,0
183.0,36.1,1,1,1,19.73,1,1,50,-4.869999999999999,1,0
151.8,33.4,1,0,1,22.0,1,1,50,-2.5999999999999996,1,0
192.5,35.9,0,1,0,18.65,1,1,50,-5.95,1,0
268.0,59.2,0,1,0,22.09,1,1,50,-2.51,1,0
295.0,62.8,0,1,0,21.29,1,1,50,-3.3100000000000005,1,0
169.8,32.8,0,1,1,19.32,1,1,50,-5.279999999999999,1,0
277.0,55.6,0,1,0,20.07,1,1,50,-4.529999999999999,1,0
260.0,51.4,0,1,1,19.77,1,1,50,-4.83,1,0
151.0,30.3,1,0,1,20.07,1,1,50,-4.529999999999999,1,0
193.0,34.5,0,1,0,17.88,1,1,50,-6.72,1,0
116.7,23.0,1,1,1,19.71,1,1,50,-4.890000000000001,1,0
227.0,44.7,1,1,1,19.69,1,1,50,-4.91,1,0
82.3,15.5,1,1,1,18.83,1,1,50,-5.77,1,0
111.6,22.6,1,1,1,20.25,1,1,50,-4.35,1,0
183.0,37.9,1,1,1,20.71,1,1,50,-3.8900000000000006,1,0
227.1,52.3,0,1,1,23.03,1,1,50,-1.5700000000000003,1,0
263.0,63.4,0,1,0,24.11,1,1,50,-0.4900000000000002,1,0
248.3,57.5,0,1,0,23.16,1,1,50,-1.4399999999999995,1,0
190.1,39.8,1,1,1,20.94,1,1,50,-3.66,1,0
30.2,6.3,1,1,0,20.86,1,1,50,-3.74,1,0
141.0,34.1,0,1,0,24.18,1,1,50,-0.41999999999999993,1,0
156.0,34.5,0,1,0,22.12,1,1,50,-2.4800000000000004,1,0
313.0,62.0,0,1,0,19.81,1,1,50,-4.789999999999999,1,0
175.5,42.9,1,1,1,24.44,1,1,50,-0.16000000000000014,1,0
273.0,58.5,0,1,0,21.43,1,1,50,-3.17,1,0
151.0,36.2,0,1,0,23.97,1,1,50,-0.6300000000000008,1,0
80.9,18.5,0,1,0,22.87,1,1,50,-1.7300000000000004,1,0
333.1,62.2,1,1,1,18.67,1,1,50,-5.93,1,0
213.8,52.7,0,1,0,24.65,1,1,50,0.05000000000000071,1,0
253.0,48.7,1,1,1,19.25,1,1,50,-5.35,1,0
155.0,30.1,0,1,0,19.42,0,1,50,-5.18,1,0
251.0,55.4,0,1,0,22.07,1,1,50,-2.5299999999999994,1,0
262.0,62.8,0,1,0,23.97,1,1,50,-0.6300000000000008,1,0
249.0,58.5,0,1,0,23.49,1,1,50,-1.1099999999999994,1,0
271.0,62.2,0,1,0,22.95,1,1,50,-1.6500000000000004,1,0
198.0,37.0,0,1,1,18.69,1,1,50,-5.91,1,0
147.0,28.8,0,1,0,19.59,1,1,50,-5.01,1,0
232.0,42.6,1,1,1,18.36,1,1,50,-6.24,1,0
211.8,43.6,1,1,1,20.59,1,1,50,-4.01,1,0
208.6,47.8,1,0,1,22.91,1,1,50,-1.6899999999999995,1,0
45.0,10.9,1,0,1,24.22,1,1,50,-0.3800000000000008,1,0
37.0,6.8,1,0,1,18.38,0,1,50,-6.22,1,1
368.0,67.7,1,0,1,18.4,0,1,50,-6.2,1,1
39.0,6.3,1,0,1,16.15,0,1,50,-8.45,1,1
136.0,23.7,1,0,1,17.43,0,1,50,-7.17,1,1
284.0,44.3,1,0,1,15.6,0,1,50,-9.0,1,1
254.0,59.5,1,0,1,23.43,0,1,50,-1.17,1,1
143.0,34.5,1,0,1,24.13,0,1,50,-0.47000000000000064,1,1
149.0,33.4,1,0,1,22.42,0,1,50,-2.1799999999999997,1,1
125.0,35.1,1,0,1,28.08,0,1,50,3.4800000000000004,1,1
104.0,27.6,1,0,1,26.54,0,1,50,1.9399999999999995,1,1
255.0,65.6,1,0,1,25.73,0,1,50,1.1300000000000008,1,1
105.0,27.4,1,0,1,26.1,0,1,50,1.5,1,1
156.0,39.3,1,0,1,25.19,0,1,50,0.5899999999999999,1,1
134.0,38.0,1,0,1,28.36,0,1,50,3.7600000000000016,1,1
128.0,35.7,1,0,1,27.89,0,1,50,3.289999999999999,1,1
123.0,30.8,1,0,1,25.04,0,1,50,0.4399999999999995,1,1
159.0,39.1,1,0,1,24.59,0,1,50,-0.009999999999999787,1,1
183.0,43.0,1,0,1,23.5,0,1,50,-1.0999999999999996,1,1
152.0,34.4,1,0,1,22.63,0,1,50,-1.9700000000000006,1,1
125.0,29.1,1,0,1,23.28,0,1,50,-1.3200000000000003,1,1
333.0,64.1,1,0,1,19.25,0,1,50,-5.35,1,1
135.0,25.2,1,0,1,18.67,0,1,50,-5.93,1,1
138.0,26.3,1,0,1,19.06,0,1,50,-5.54,1,1
86.0,15.5,1,0,1,22.68,0,1,50,-1.92,1,1
183.0,45.5,1,0,1,22.68,0,1,50,-1.92,1,1
143.0,30.7,1,0,1,21.47,0,1,50,-3.130000000000001,1,1
213.0,13.6,1,0,1,12.25,0,1,50,-12.35,1,1
129.0,28.3,1,0,1,12.25,0,1,50,-12.35,1,1
243.0,38.2,1,0,1,15.72,0,1,50,-8.879999999999999,1,1
221.0,38.3,1,0,1,17.33,0,1,50,-7.27,1,1
182.0,32.1,1,0,1,17.64,0,1,50,-6.96,1,1
290.0,45.9,1,0,1,17.04,0,1,50,-7.56,1,1
75.0,16.3,1,0,1,17.04,0,1,50,-7.56,1,1
281.0,54.5,1,0,1,19.4,0,1,50,-5.199999999999999,1,1
3.462,80.38,1,1,1,16.57,0,1,50,-8.030000000000001,1,1
28.0,7.72,1,0,1,21.75459987,0,1,50,-2.84540013,1,2
106.0,12.91,1,0,1,21.75459987,0,1,50,-2.84540013,1,2
35.0,19.47,1,0,1,27.29,0,1,50,2.6900000000000013,1,2
22.0,8.99,1,0,1,27.29,0,1,50,2.6900000000000013,1,2
26.0,13.2,1,0,1,27.29,0,1,50,2.6900000000000013,1,2
103.0,22.02,1,1,1,27.29,0,1,50,2.6900000000000013,1,2
112.0,35.3,1,1,1,27.29,0,1,50,2.6900000000000013,1,2
57.0,20.82,1,1,1,27.29,0,1,50,2.6900000000000013,1,2
51.0,9.0,1,1,1,27.29,0,1,50,2.6900000000000013,1,2
50.0,12.91,1,1,1,27.29,0,1,50,2.6900000000000013,1,2
161.0,26.66,1,1,1,27.29,0,1,50,2.6900000000000013,1,2
30.0,28.77,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
111.0,36.62,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
167.0,22.24,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
31.0,5.4,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
110.0,36.61,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
40.0,3.7,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
16.0,11.43,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
34.0,6.25,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
208.0,14.92,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
100.0,27.93,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
10.0,17.15,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
140.0,14.6,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
61.0,26.46,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
53.0,1.59,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
163.0,32.79,1,1,1,22.49,0,1,50,-2.1099999999999994,1,2
1.0,3.81,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
122.0,51.22,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
56.0,32.48,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
69.0,12.48,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
28.0,7.3,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
26.0,11.11,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
67.0,11.0,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
154.0,56.71,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
110.0,31.84,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
8.0,5.18,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
